date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2024-04-30,10,Persistence,0.0899164229631424,0.037057552486658096,68125.0,625.0,67500.0,0.9908256880733946
2024-05-01,10,Persistence,0.08888199180364609,0.036094047129154205,51250.0,12500.0,38750.0,0.7560975609756098
2024-05-24,10,Persistence,0.0986945778131485,0.0441569946706295,71250.0,30000.0,41250.0,0.5789473684210527
2024-05-25,10,Persistence,0.09260249882936478,0.04149015247821808,65625.0,31875.0,33750.0,0.5142857142857142
2024-05-26,10,Persistence,0.0938219428062439,0.04111447557806969,41250.0,20000.0,21250.0,0.5151515151515151
2024-07-30,10,Persistence,0.03919084370136261,0.010361317545175552,59375.0,21875.0,37500.0,0.631578947368421
2024-07-31,10,Persistence,0.037896957248449326,0.010095612145960331,56875.0,28125.0,28750.0,0.5054945054945055
2024-08-01,10,Persistence,0.03921673074364662,0.010150921531021595,51250.0,23750.0,27500.0,0.5365853658536586
2024-08-02,10,Persistence,0.039773955941200256,0.010238178074359894,41875.0,19375.0,22500.0,0.5373134328358209
2024-08-14,10,Persistence,0.05776586756110191,0.013584384694695473,66875.0,29375.0,37500.0,0.5607476635514018
2024-08-15,10,Persistence,0.04193514958024025,0.008957985788583755,51250.0,23750.0,27500.0,0.5365853658536586
2024-08-28,10,Persistence,0.036390580236911774,0.008175029419362545,51875.0,10625.0,41250.0,0.7951807228915663
2024-08-29,10,Persistence,0.035669125616550446,0.007876205258071423,43125.0,4375.0,38750.0,0.8985507246376812
2024-08-30,10,Persistence,0.0366516038775444,0.008100505918264389,36250.0,11250.0,25000.0,0.6896551724137931
2024-08-31,10,Persistence,0.04176166281104088,0.009260277263820171,42500.0,0.0,42500.0,1.0
2024-09-01,10,Persistence,0.04220251739025116,0.009223333559930325,31875.0,6875.0,25000.0,0.7843137254901961
2024-09-20,10,Persistence,0.05370523780584335,0.01048941072076559,36250.0,6250.0,30000.0,0.8275862068965517
2024-09-21,10,Persistence,0.05760453641414642,0.01147706713527441,40000.0,6250.0,33750.0,0.84375
2024-09-23,10,Persistence,0.058227360248565674,0.011621772311627865,38125.0,16875.0,21250.0,0.5573770491803278
2024-09-24,10,Persistence,0.0511598102748394,0.01029973104596138,41250.0,11250.0,30000.0,0.7272727272727273
2024-10-23,10,Persistence,0.09453141689300537,0.029117178171873093,102500.0,10000.0,92500.0,0.9024390243902439
2024-10-24,10,Persistence,0.08403638005256653,0.025718681514263153,89375.0,6875.0,82500.0,0.9230769230769231
2024-10-25,10,Persistence,0.08143015205860138,0.024141507223248482,75625.0,21875.0,53750.0,0.7107438016528925
2024-11-29,10,Persistence,0.07951220124959946,0.025670316070318222,91875.0,40625.0,51250.0,0.5578231292517006
2024-12-16,10,Persistence,0.05792870372533798,0.018209489062428474,55000.0,0.0,55000.0,1.0
2024-12-17,10,Persistence,0.08740832656621933,0.0265082698315382,82500.0,32500.0,50000.0,0.6060606060606061
2024-12-19,10,Persistence,0.09850195795297623,0.026865318417549133,81250.0,31250.0,50000.0,0.6153846153846154
2022-01-01,1,LSTM,0.04924570024013519,0.0175157617777586,40625.0,1875.0,38750.0,0.9538461538461539
2022-01-02,1,LSTM,0.055391039699316025,0.018477164208889008,41875.0,14375.0,27500.0,0.6567164179104478
2022-01-06,1,LSTM,0.04834633693099022,0.019684486091136932,31250.0,8750.0,22500.0,0.72
2022-01-07,1,LSTM,0.03879932314157486,0.016149861738085747,33750.0,2500.0,31250.0,0.9259259259259259
2022-01-09,1,LSTM,0.03597351163625717,0.014135928824543953,32500.0,13750.0,18750.0,0.5769230769230769
2022-01-10,1,LSTM,0.054417818784713745,0.018878109753131866,55000.0,16250.0,38750.0,0.7045454545454546
2022-01-14,1,LSTM,0.057700373232364655,0.022647777572274208,57500.0,11250.0,46250.0,0.8043478260869565
